artist,songName,albumTitle,year,youTubeId,moreInfoUrl,addedBy
Kraftwerk,Computerwelt,Computerwelt,1981,zWSkwvvfmco,https://en.wikipedia.org/wiki/Computer_World,Moacir
Janelle Monáe,It's Code,The Electric Lady,2013,SRZlDeSqcoM,https://en.wikipedia.org/wiki/The_Electric_Lady,Moacir
Gucci Mane,I Think I Love Her,Ferrari Music,2010,gtumYwv0YYo,https://genius.com/Gucci-mane-i-think-i-love-her-lyrics,Susannah
Boney M,Daddy Cool,take the heat off me,1976,QtxlCsVKkvY,https://en.wikipedia.org/wiki/Daddy_Cool_(Boney_M._song),Adam
Samuele Bersani,Giudizi Universali,Samuele Bersani,1997,JJd05xURxTQ,https://it.wikipedia.org/wiki/Giudizi_universali,Emma
Leikeli47,Money,single,2016,JAM_ONZgPnE,https://en.wikipedia.org/wiki/Leikeli47,Adam
Guster,Bad bad world,everything is wonderful,2010,ukdZMtzgb1c,https://www.youtube.com/watch?v=ukdZMtzgb1c,Josh
Lord Huron,Lonesome Dreams,Lonesome Dreams,2013,xFcxnQ0nsts,https://www.youtube.com/watch?v=xFcxnQ0nsts,Josh
Lorde ,Ribs ,Pure Heroine ,2013,4qaeoz_7cyE,https://www.youtube.com/watch?v=4qaeoz_7cyE,Valentina 
Maggie Rogers,Light On ,Heard It In A Past Life ,2019,MSFjYe54uv4,https://www.youtube.com/watch?v=MSFjYe54uv4,Valentina 
Lorde,Liability (Reprise),Melodrama,2017,v95HpUgac_c,https://en.wikipedia.org/wiki/Melodrama_(Lorde_album),Alan
Charli XCX,Tears (ft. Caroline Polachek),Pop 2,2017,6vRVojSt_zw,https://en.wikipedia.org/wiki/Pop_2_(mixtape),Alan
